city,news_count,sentiment_score,positive_pct,negative_pct,neutral_pct
克拉玛依,9,100.0,100.0,0.0,0.0
昭通,19,100.0,100.0,0.0,0.0
葫芦岛,2,100.0,100.0,0.0,0.0
锦州,22,100.0,100.0,0.0,0.0
三沙,2,100.0,100.0,0.0,0.0
贵港,26,100.0,100.0,0.0,0.0
抚顺,18,100.0,100.0,0.0,0.0
阜新,2,100.0,100.0,0.0,0.0
包头,35,100.0,100.0,0.0,0.0
张家口,9,100.0,100.0,0.0,0.0
贺州,9,100.0,100.0,0.0,0.0
绥化,23,97.91,95.65,0.0,4.35
昌都,29,96.6,96.55,3.45,0.0
保山,49,94.52,93.88,6.12,0.0
山南,47,93.85,93.62,6.38,0.0
安庆,26,93.53,92.31,7.69,0.0
呼和浩特,87,93.3,94.25,5.75,0.0
汕尾,14,92.86,92.86,7.14,0.0
东营,53,92.81,92.45,7.55,0.0
忻州,20,92.5,85.0,0.0,15.0
漳州,26,92.44,92.31,7.69,0.0
晋城,81,92.38,90.12,4.94,4.94
北海,2155,92.11,92.2,7.8,0.0
来宾,54,92.03,92.59,7.41,0.0
银川,2185,91.92,91.99,8.01,0.0
龙岩,15,91.61,93.33,6.67,0.0
安阳,36,90.95,88.89,8.33,2.78
大连,2301,90.93,91.09,8.87,0.04
宁波,2326,90.83,91.19,8.81,0.0
三明,44,90.6,90.91,9.09,0.0
莆田,47,90.42,91.49,8.51,0.0
大庆,51,90.36,88.24,7.84,3.92
辽源,20,90.22,90.0,10.0,0.0
自贡,24,90.18,91.67,8.33,0.0
惠州,54,90.18,88.89,11.11,0.0
朔州,20,90.0,90.0,10.0,0.0
青岛,2399,89.77,90.08,9.88,0.04
牡丹江,23,89.73,86.96,8.7,4.35
太原,157,89.49,89.17,8.92,1.91
厦门,2338,89.46,90.03,9.97,0.0
邯郸,48,89.2,89.58,10.42,0.0
雅安,18,88.89,88.89,11.11,0.0
漯河,35,88.72,85.71,11.43,2.86
天津,2744,88.39,89.07,10.93,0.0
温州,125,88.13,88.8,11.2,0.0
黄山,34,87.88,88.24,11.76,0.0
绍兴,49,87.74,87.76,12.24,0.0
揭阳,19,87.71,89.47,10.53,0.0
临汾,52,87.5,86.54,11.54,1.92
七台河,12,87.5,83.33,8.33,8.33
深圳,2864,87.47,87.85,12.12,0.03
潍坊,134,86.98,85.82,13.43,0.75
吉林,2900,86.53,85.93,12.21,1.86
佳木斯,27,86.49,85.19,7.41,7.41
张家界,46,85.63,84.78,15.22,0.0
济南,450,85.12,84.22,15.11,0.67
嘉峪关,11,84.23,81.82,9.09,9.09
咸阳,44,84.23,86.36,13.64,0.0
济宁,109,83.98,83.49,14.68,1.83
梧州,19,83.77,84.21,15.79,0.0
黑河,49,83.73,83.67,12.24,4.08
柳州,60,83.67,86.67,13.33,0.0
铁岭,14,83.58,85.71,14.29,0.0
东莞,119,83.32,83.19,16.81,0.0
玉林,22,83.18,81.82,18.18,0.0
重庆,4422,82.89,83.42,16.58,0.0
怀化,44,81.9,81.82,18.18,0.0
泸州,50,81.76,82.0,18.0,0.0
景德镇,48,81.42,81.25,18.75,0.0
德阳,16,81.25,81.25,18.75,0.0
宝鸡,26,81.1,84.62,15.38,0.0
金昌,30,81.05,80.0,20.0,0.0
嘉兴,112,80.93,83.04,16.07,0.89
上海,3306,80.79,82.09,17.82,0.09
伊春,26,80.6,80.77,15.38,3.85
六安,20,80.43,80.0,20.0,0.0
六盘水,16,80.13,81.25,18.75,0.0
吕梁,118,80.13,76.27,15.25,8.47
玉溪,5,80.0,80.0,20.0,0.0
固原,50,79.83,80.0,20.0,0.0
资阳,16,79.61,81.25,18.75,0.0
吉安,46,79.38,78.26,19.57,2.17
北京,4040,79.28,80.1,19.85,0.05
衢州,66,79.16,78.79,18.18,3.03
普洱,33,79.07,78.79,21.21,0.0
拉萨,23,79.07,78.26,21.74,0.0
许昌,7,78.57,71.43,14.29,14.29
运城,65,78.46,76.92,20.0,3.08
南阳,36,78.46,75.0,25.0,0.0
晋中,77,78.43,77.92,16.88,5.19
儋州,89,78.38,77.53,22.47,0.0
通化,42,78.21,78.57,21.43,0.0
中卫,27,78.14,77.78,22.22,0.0
松原,26,77.89,76.92,19.23,3.85
平凉,146,77.6,78.77,20.55,0.68
福州,188,77.0,76.6,23.4,0.0
岳阳,66,76.97,78.79,21.21,0.0
宜宾,33,76.95,81.82,18.18,0.0
上饶,65,76.87,76.92,23.08,0.0
佛山,130,76.8,76.92,23.08,0.0
大同,59,76.67,76.27,22.03,1.69
昆明,145,76.67,77.24,22.76,0.0
林芝,32,76.58,81.25,18.75,0.0
三亚,180,76.53,76.67,22.78,0.56
十堰,79,76.3,74.68,25.32,0.0
防城港,22,76.21,77.27,22.73,0.0
舟山,58,75.93,74.14,25.86,0.0
阳泉,20,75.82,75.0,20.0,5.0
台州,71,75.79,76.06,23.94,0.0
孝感,44,75.69,77.27,22.73,0.0
淄博,130,75.62,76.15,23.85,0.0
武威,103,75.44,73.79,19.42,6.8
哈尔滨,321,75.39,76.64,22.74,0.62
泉州,116,75.35,75.86,24.14,0.0
阜阳,18,75.28,77.78,22.22,0.0
铜川,12,75.0,75.0,25.0,0.0
湖州,96,74.9,73.96,26.04,0.0
西安,549,74.87,75.77,24.23,0.0
延安,89,74.69,76.4,23.6,0.0
黄冈,43,74.68,74.42,25.58,0.0
武汉,742,73.49,72.78,24.8,2.43
天水,79,73.37,73.42,25.32,1.27
宜昌,91,73.31,72.53,27.47,0.0
烟台,148,72.87,71.62,26.35,2.03
汉中,74,72.84,74.32,25.68,0.0
咸宁,44,72.75,70.45,29.55,0.0
吴忠,65,72.73,73.85,26.15,0.0
珠海,70,72.69,72.86,27.14,0.0
石嘴山,42,72.64,76.19,23.81,0.0
丽水,52,72.5,73.08,26.92,0.0
肇庆,26,72.44,76.92,23.08,0.0
双鸭山,31,72.36,74.19,22.58,3.23
三门峡,9,72.22,66.67,22.22,11.11
四平,53,72.14,71.7,26.42,1.89
云浮,36,72.01,69.44,30.56,0.0
眉山,21,71.71,71.43,28.57,0.0
开封,49,71.44,69.39,28.57,2.04
鄂尔多斯,175,71.4,73.14,26.86,0.0
齐齐哈尔,19,71.31,73.68,21.05,5.26
郑州,285,71.19,70.88,28.07,1.05
襄阳,102,71.14,71.57,27.45,0.98
赣州,75,71.1,70.67,29.33,0.0
成都,588,71.04,72.11,27.55,0.34
海东,92,70.99,70.65,28.26,1.09
驻马店,9,70.97,66.67,33.33,0.0
秦皇岛,41,70.67,73.17,26.83,0.0
朝阳,209,70.64,71.29,28.71,0.0
海口,253,70.56,72.33,26.88,0.79
营口,26,70.48,69.23,26.92,3.85
长春,260,70.46,67.69,26.15,6.15
鹰潭,23,70.38,69.57,26.09,4.35
荆门,62,70.32,66.13,32.26,1.61
德州,82,70.24,70.73,29.27,0.0
哈密,40,69.89,70.0,30.0,0.0
湛江,80,69.89,70.0,30.0,0.0
丽江,32,69.18,68.75,31.25,0.0
南京,621,69.1,70.05,29.31,0.64
兰州,369,68.53,66.94,29.27,3.79
乌鲁木齐,144,68.46,70.14,29.86,0.0
随州,32,68.44,71.88,28.12,0.0
广州,655,68.4,68.7,31.15,0.15
鸡西,42,68.12,71.43,28.57,0.0
衡水,48,68.12,66.67,33.33,0.0
商丘,44,68.1,65.91,29.55,4.55
西宁,114,68.01,67.54,32.46,0.0
达州,25,67.76,72.0,28.0,0.0
洛阳,97,67.44,71.13,27.84,1.03
百色,89,67.38,67.42,32.58,0.0
铜陵,14,67.33,64.29,35.71,0.0
南昌,203,66.71,66.01,30.54,3.45
淮北,44,66.67,63.64,36.36,0.0
